국가명,국가코드,기준연도,gdp성장률
Canada,CAN,2010,3.089919
Canada,CAN,2011,3.1461
Canada,CAN,2012,1.760962
Canada,CAN,2013,2.329123
Canada,CAN,2014,2.870036
Canada,CAN,2015,0.659177
Canada,CAN,2016,1.001394
Canada,CAN,2017,3.03988
Canada,CAN,2018,2.777041
Canada,CAN,2019,1.888224
Canada,CAN,2020,-5.074358
Canada,CAN,2021,5.011801
Canada,CAN,2022,3.396202
Czech Republic,CZE,1991,-11.614942
Czech Republic,CZE,1992,-0.506542
Czech Republic,CZE,1993,0.061904
Czech Republic,CZE,1994,2.909309
Czech Republic,CZE,1995,6.500814
Czech Republic,CZE,1996,4.265417
Czech Republic,CZE,1997,-0.518331
Czech Republic,CZE,1998,-0.356567
Czech Republic,CZE,1999,1.384149
Czech Republic,CZE,2000,4.001029
Czech Republic,CZE,2001,3.042977
Czech Republic,CZE,2002,1.569855
Czech Republic,CZE,2003,3.583688
Czech Republic,CZE,2004,4.814261
Czech Republic,CZE,2005,6.601618
Czech Republic,CZE,2006,6.766933
Czech Republic,CZE,2007,5.570339
Czech Republic,CZE,2008,2.686412
Czech Republic,CZE,2009,-4.657331
Czech Republic,CZE,2010,2.434902
Czech Republic,CZE,2011,1.76036
Czech Republic,CZE,2012,-0.785004
Czech Republic,CZE,2013,-0.045904
Czech Republic,CZE,2014,2.262103
Czech Republic,CZE,2015,5.388381
Czech Republic,CZE,2016,2.537285
Czech Republic,CZE,2017,5.168724
Czech Republic,CZE,2018,3.220088
Czech Republic,CZE,2019,3.029879
Czech Republic,CZE,2020,-5.502968
Czech Republic,CZE,2021,3.552722
Czech Republic,CZE,2022,2.460919
Denmark,DNK,1967,5.53037
Denmark,DNK,1968,5.553077
Denmark,DNK,1969,6.509248
Denmark,DNK,1970,1.596842
Denmark,DNK,1971,3.004996
Denmark,DNK,1972,3.929385
Denmark,DNK,1973,4.092946
Denmark,DNK,1974,-1.122394
Denmark,DNK,1975,-1.456645
Denmark,DNK,1976,5.924606
Denmark,DNK,1977,1.870291
Denmark,DNK,1978,2.226309
Denmark,DNK,1979,3.869112
Denmark,DNK,1980,-0.482986
Denmark,DNK,1981,-0.666124
Denmark,DNK,1982,3.684573
Denmark,DNK,1983,2.596072
Denmark,DNK,1984,4.166138
Denmark,DNK,1985,4.003752
Denmark,DNK,1986,4.904178
Denmark,DNK,1987,0.254266
Denmark,DNK,1988,-0.013601
Denmark,DNK,1989,0.645187
Denmark,DNK,1990,1.475244
Denmark,DNK,1991,1.393634
Denmark,DNK,1992,1.957007
Denmark,DNK,1993,0.010688
Denmark,DNK,1994,5.332463
Denmark,DNK,1995,3.027587
Denmark,DNK,1996,2.9001
Denmark,DNK,1997,3.26089
Denmark,DNK,1998,2.218159
Denmark,DNK,1999,2.948022
Denmark,DNK,2000,3.746863
Denmark,DNK,2001,0.823153
Denmark,DNK,2002,0.466346
Denmark,DNK,2003,0.390059
Denmark,DNK,2004,2.668219
Denmark,DNK,2005,2.336641
Denmark,DNK,2006,3.913008
Denmark,DNK,2007,0.909239
Denmark,DNK,2008,-0.512017
Denmark,DNK,2009,-4.906548
Denmark,DNK,2010,1.870991
Denmark,DNK,2011,1.336778
Denmark,DNK,2012,0.2265
Denmark,DNK,2013,0.933341
Denmark,DNK,2014,1.619394
Denmark,DNK,2015,2.342591
