"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2006","2006","AUD","Australian Dollar","6","Millions",,,1088284,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2007","2007","AUD","Australian Dollar","6","Millions",,,1179153,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2008","2008","AUD","Australian Dollar","6","Millions",,,1261261,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2009","2009","AUD","Australian Dollar","6","Millions",,,1304017,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2010","2010","AUD","Australian Dollar","6","Millions",,,1418403,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2011","2011","AUD","Australian Dollar","6","Millions",,,1500176,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2012","2012","AUD","Australian Dollar","6","Millions",,,1536498,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2013","2013","AUD","Australian Dollar","6","Millions",,,1598597,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2014","2014","AUD","Australian Dollar","6","Millions",,,1623305,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2015","2015","AUD","Australian Dollar","6","Millions",,,1657538,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2016","2016","AUD","Australian Dollar","6","Millions",,,1758828,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2017","2017","AUD","Australian Dollar","6","Millions",,,1842635,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2018","2018","AUD","Australian Dollar","6","Millions",,,1946613,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2019","2019","AUD","Australian Dollar","6","Millions",,,1979471,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2020","2020","AUD","Australian Dollar","6","Millions",,,2080419,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","C","Current prices","2021","2021","AUD","Australian Dollar","6","Millions",,,2309051,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1960","1960","PC","Percentage","0","Units",,,2.482656,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1961","1961","PC","Percentage","0","Units",,,1.294611,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1962","1962","PC","Percentage","0","Units",,,6.216107,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1963","1963","PC","Percentage","0","Units",,,6.980061,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1964","1964","PC","Percentage","0","Units",,,5.980438,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1965","1965","PC","Percentage","0","Units",,,2.37904,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1966","1966","PC","Percentage","0","Units",,,6.304945,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1967","1967","PC","Percentage","0","Units",,,5.094034,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1968","1968","PC","Percentage","0","Units",,,7.045584,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1969","1969","PC","Percentage","0","Units",,,7.175916,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1970","1970","PC","Percentage","0","Units",,,4.000933,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1971","1971","PC","Percentage","0","Units",,,3.910284,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1972","1972","PC","Percentage","0","Units",,,2.619376,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1973","1973","PC","Percentage","0","Units",,,4.106973,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1974","1974","PC","Percentage","0","Units",,,1.33631,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1975","1975","PC","Percentage","0","Units",,,2.588771,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1976","1976","PC","Percentage","0","Units",,,3.594833,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1977","1977","PC","Percentage","0","Units",,,0.89315,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1978","1978","PC","Percentage","0","Units",,,4.050027,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1979","1979","PC","Percentage","0","Units",,,3.035589,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1980","1980","PC","Percentage","0","Units",,,3.339495,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1981","1981","PC","Percentage","0","Units",,,3.324852,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1982","1982","PC","Percentage","0","Units",,,-2.224542,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1983","1983","PC","Percentage","0","Units",,,4.591739,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1984","1984","PC","Percentage","0","Units",,,5.278244,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1985","1985","PC","Percentage","0","Units",,,3.966274,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1986","1986","PC","Percentage","0","Units",,,2.559258,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1987","1987","PC","Percentage","0","Units",,,5.757341,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1988","1988","PC","Percentage","0","Units",,,3.875426,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1989","1989","PC","Percentage","0","Units",,,3.576486,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1990","1990","PC","Percentage","0","Units",,,-0.383072,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1991","1991","PC","Percentage","0","Units",,,0.42862,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","G","Growth rate","1992","1992","PC","Percentage","0","Units",,,4.047425,,
